institute_id,short_name,full_name,city,state,nirf_rank,nirf_score,tlr_score,rpc_score,go_score,oi_score,perception_score,total_faculty,faculty_with_phd,total_students,ug_total_graduating,ug_placed_latest,ug_higher_studies,ug_median_salary_lakh,phd_students_fulltime,phd_students_parttime,phd_graduated_latest,patents_published,patents_granted,sponsored_projects,sponsored_funding_cr,consultancy_projects,consultancy_revenue_cr,lab_capex_cr,salary_expense_cr,phd_pct,placement_rate_pct,founding_year,institution_age,generation,phd_output_rate_pct,research_intensity_cr
IR-E-U-0456,IIT Madras,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,88.72,95.7,90.74,82.29,63.25,100.0,686,622,6453,958,764,177,17.5,1798,200,314,221,107,794,956.31,1530,394.93,483.13,660.63,90.7,79.7,1959,66,Gen1_Pre1962,17.5,1351.24
IR-E-I-1074,IIT Delhi,Indian Institute of Technology Delhi,New Delhi,Delhi,2,85.74,85.89,93.47,81.67,62.01,93.97,677,609,6897,1064,810,58,19.08,2866,546,464,295,113,1006,367.22,521,47.53,256.33,701.4,90.0,76.1,1961,64,Gen1_Pre1962,16.2,414.75
IR-E-U-0306,IIT Bombay,Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,83.65,87.97,84.81,87.06,59.13,85.04,792,649,8826,1172,887,285,19.61,3523,466,491,228,98,1572,592.26,1255,125.21,281.71,834.23,81.9,75.7,1958,67,Gen1_Pre1962,13.9,717.47
IR-E-I-1075,IIT Kanpur,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,81.82,91.77,76.34,88.08,59.18,78.49,579,461,6432,1133,754,283,19.4,2068,43,238,142,57,1155,225.15,428,114.11,110.32,401.6,79.6,66.5,1959,66,Gen1_Pre1962,11.5,339.26
IR-E-U-0573,IIT Kharagpur,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,78.69,85.26,77.56,79.82,64.24,74.57,868,654,9334,1317,959,180,19.76,3409,0,494,275,117,892,160.17,340,43.34,148.98,563.25,75.3,72.8,1951,74,Gen1_Pre1962,14.5,203.51
IR-E-U-0560,IIT Roorkee,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,75.44,76.06,76.57,85.82,63.92,60.98,601,524,5998,1102,769,333,17.0,2806,18,145,188,71,266,112.67,1054,92.74,135.06,411.5,87.2,69.8,1847,178,Gen1_Pre1962,5.2,205.41
IR-E-U-0013,IIT Hyderabad,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,7,72.31,88.02,61.39,79.2,54.39,61.98,282,269,2818,399,306,37,21.0,711,165,89,95,32,181,129.21,605,18.53,33.74,145.07,95.4,76.7,2008,17,Gen3_2001_2010,12.5,147.74
IR-E-U-0053,IIT Guwahati,Indian Institute of Technology Guwahati,Guwahati,Assam,8,72.24,73.6,72.89,84.68,61.4,52.06,460,340,5413,856,658,179,19.48,2146,174,263,94,38,348,130.91,366,30.52,50.85,197.75,73.9,76.9,1994,31,Gen2_1962_2000,12.3,161.43
IR-E-U-0701,IIT BHU,Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,10,67.24,66.39,61.68,86.03,60.51,55.64,382,381,7195,1392,1269,113,20.0,1123,73,255,78,28,453,44.23,1354,27.82,51.92,219.01,99.7,91.2,1919,106,Gen1_Pre1962,22.7,72.05
IR-E-U-0273,IIT Indore,Indian Institute of Technology Indore,Indore,Madhya Pradesh,12,66.65,81.25,59.55,76.52,63.77,27.15,229,190,1987,331,234,27,19.48,633,41,81,82,25,265,50.29,117,10.8,17.7,82.26,83.0,70.7,2009,16,Gen3_2001_2010,12.8,61.09
