institute_id,short_name,age_group,faculty_count
IR-E-U-0456,IIT Madras,<=30,7
IR-E-U-0456,IIT Madras,31-35,49
IR-E-U-0456,IIT Madras,36-40,89
IR-E-U-0456,IIT Madras,41-45,121
IR-E-U-0456,IIT Madras,46-50,147
IR-E-U-0456,IIT Madras,51-55,104
IR-E-U-0456,IIT Madras,56-60,81
IR-E-U-0456,IIT Madras,61-65,80
IR-E-U-0456,IIT Madras,66+,7
IR-E-I-1074,IIT Delhi,<=30,9
IR-E-I-1074,IIT Delhi,31-35,73
IR-E-I-1074,IIT Delhi,36-40,177
IR-E-I-1074,IIT Delhi,41-45,110
IR-E-I-1074,IIT Delhi,46-50,85
IR-E-I-1074,IIT Delhi,51-55,57
IR-E-I-1074,IIT Delhi,56-60,59
IR-E-I-1074,IIT Delhi,61-65,58
IR-E-I-1074,IIT Delhi,66+,26
IR-E-U-0306,IIT Bombay,<=30,2
IR-E-U-0306,IIT Bombay,31-35,62
IR-E-U-0306,IIT Bombay,36-40,142
IR-E-U-0306,IIT Bombay,41-45,143
IR-E-U-0306,IIT Bombay,46-50,144
IR-E-U-0306,IIT Bombay,51-55,95
IR-E-U-0306,IIT Bombay,56-60,97
IR-E-U-0306,IIT Bombay,61-65,73
IR-E-U-0306,IIT Bombay,66+,34
IR-E-I-1075,IIT Kanpur,<=30,7
IR-E-I-1075,IIT Kanpur,31-35,93
IR-E-I-1075,IIT Kanpur,36-40,135
IR-E-I-1075,IIT Kanpur,41-45,102
IR-E-I-1075,IIT Kanpur,46-50,76
IR-E-I-1075,IIT Kanpur,51-55,50
IR-E-I-1075,IIT Kanpur,56-60,71
IR-E-I-1075,IIT Kanpur,61-65,31
IR-E-I-1075,IIT Kanpur,66+,14
IR-E-U-0573,IIT Kharagpur,<=30,13
IR-E-U-0573,IIT Kharagpur,31-35,112
IR-E-U-0573,IIT Kharagpur,36-40,148
IR-E-U-0573,IIT Kharagpur,41-45,161
IR-E-U-0573,IIT Kharagpur,46-50,108
IR-E-U-0573,IIT Kharagpur,51-55,94
IR-E-U-0573,IIT Kharagpur,56-60,125
IR-E-U-0573,IIT Kharagpur,61-65,81
IR-E-U-0573,IIT Kharagpur,66+,24
IR-E-U-0560,IIT Roorkee,<=30,7
IR-E-U-0560,IIT Roorkee,31-35,83
IR-E-U-0560,IIT Roorkee,36-40,116
IR-E-U-0560,IIT Roorkee,41-45,79
IR-E-U-0560,IIT Roorkee,46-50,87
IR-E-U-0560,IIT Roorkee,51-55,52
IR-E-U-0560,IIT Roorkee,56-60,62
IR-E-U-0560,IIT Roorkee,61-65,69
IR-E-U-0560,IIT Roorkee,66+,37
IR-E-U-0013,IIT Hyderabad,<=30,1
IR-E-U-0013,IIT Hyderabad,31-35,42
IR-E-U-0013,IIT Hyderabad,36-40,89
IR-E-U-0013,IIT Hyderabad,41-45,66
IR-E-U-0013,IIT Hyderabad,46-50,67
IR-E-U-0013,IIT Hyderabad,51-55,9
IR-E-U-0013,IIT Hyderabad,56-60,7
IR-E-U-0013,IIT Hyderabad,61-65,1
IR-E-U-0013,IIT Hyderabad,66+,0
IR-E-U-0053,IIT Guwahati,<=30,1
IR-E-U-0053,IIT Guwahati,31-35,39
IR-E-U-0053,IIT Guwahati,36-40,65
IR-E-U-0053,IIT Guwahati,41-45,116
IR-E-U-0053,IIT Guwahati,46-50,113
IR-E-U-0053,IIT Guwahati,51-55,50
IR-E-U-0053,IIT Guwahati,56-60,46
IR-E-U-0053,IIT Guwahati,61-65,23
IR-E-U-0053,IIT Guwahati,66+,7
IR-E-U-0701,IIT BHU,<=30,3
IR-E-U-0701,IIT BHU,31-35,46
IR-E-U-0701,IIT BHU,36-40,80
IR-E-U-0701,IIT BHU,41-45,68
IR-E-U-0701,IIT BHU,46-50,67
IR-E-U-0701,IIT BHU,51-55,51
IR-E-U-0701,IIT BHU,56-60,34
IR-E-U-0701,IIT BHU,61-65,33
IR-E-U-0701,IIT BHU,66+,0
IR-E-U-0273,IIT Indore,<=30,2
IR-E-U-0273,IIT Indore,31-35,49
IR-E-U-0273,IIT Indore,36-40,59
IR-E-U-0273,IIT Indore,41-45,62
IR-E-U-0273,IIT Indore,46-50,36
IR-E-U-0273,IIT Indore,51-55,8
IR-E-U-0273,IIT Indore,56-60,1
IR-E-U-0273,IIT Indore,61-65,2
IR-E-U-0273,IIT Indore,66+,9
IR-E-U-0205,IIT ISM,<=30,19
IR-E-U-0205,IIT ISM,31-35,138
IR-E-U-0205,IIT ISM,36-40,78
IR-E-U-0205,IIT ISM,41-45,76
IR-E-U-0205,IIT ISM,46-50,65
IR-E-U-0205,IIT ISM,51-55,30
IR-E-U-0205,IIT ISM,56-60,23
IR-E-U-0205,IIT ISM,61-65,19
IR-E-U-0205,IIT ISM,66+,10
IR-E-U-0064,IIT Patna,<=30,13
IR-E-U-0064,IIT Patna,31-35,38
IR-E-U-0064,IIT Patna,36-40,73
IR-E-U-0064,IIT Patna,41-45,58
IR-E-U-0064,IIT Patna,46-50,42
IR-E-U-0064,IIT Patna,51-55,14
IR-E-U-0064,IIT Patna,56-60,8
IR-E-U-0064,IIT Patna,61-65,5
IR-E-U-0064,IIT Patna,66+,5
IR-E-U-0139,IIT Gandhinagar,<=30,5
IR-E-U-0139,IIT Gandhinagar,31-35,17
IR-E-U-0139,IIT Gandhinagar,36-40,36
IR-E-U-0139,IIT Gandhinagar,41-45,34
IR-E-U-0139,IIT Gandhinagar,46-50,28
IR-E-U-0139,IIT Gandhinagar,51-55,11
IR-E-U-0139,IIT Gandhinagar,56-60,4
IR-E-U-0139,IIT Gandhinagar,61-65,4
IR-E-U-0139,IIT Gandhinagar,66+,15
IR-E-U-0184,IIT Mandi,<=30,3
IR-E-U-0184,IIT Mandi,31-35,38
IR-E-U-0184,IIT Mandi,36-40,64
IR-E-U-0184,IIT Mandi,41-45,48
IR-E-U-0184,IIT Mandi,46-50,28
IR-E-U-0184,IIT Mandi,51-55,4
IR-E-U-0184,IIT Mandi,56-60,6
IR-E-U-0184,IIT Mandi,61-65,8
IR-E-U-0184,IIT Mandi,66+,7
IR-E-U-0395,IIT Jodhpur,<=30,3
IR-E-U-0395,IIT Jodhpur,31-35,82
IR-E-U-0395,IIT Jodhpur,36-40,94
IR-E-U-0395,IIT Jodhpur,41-45,39
IR-E-U-0395,IIT Jodhpur,46-50,14
IR-E-U-0395,IIT Jodhpur,51-55,10
IR-E-U-0395,IIT Jodhpur,56-60,8
IR-E-U-0395,IIT Jodhpur,61-65,5
IR-E-U-0395,IIT Jodhpur,66+,8
IR-E-U-0378,IIT Ropar,<=30,1
IR-E-U-0378,IIT Ropar,31-35,20
IR-E-U-0378,IIT Ropar,36-40,61
IR-E-U-0378,IIT Ropar,41-45,58
IR-E-U-0378,IIT Ropar,46-50,31
IR-E-U-0378,IIT Ropar,51-55,5
IR-E-U-0378,IIT Ropar,56-60,2
IR-E-U-0378,IIT Ropar,61-65,2
IR-E-U-0378,IIT Ropar,66+,1
IR-E-U-0355,IIT Bhubaneswar,<=30,2
IR-E-U-0355,IIT Bhubaneswar,31-35,53
IR-E-U-0355,IIT Bhubaneswar,36-40,41
IR-E-U-0355,IIT Bhubaneswar,41-45,41
IR-E-U-0355,IIT Bhubaneswar,46-50,44
IR-E-U-0355,IIT Bhubaneswar,51-55,6
IR-E-U-0355,IIT Bhubaneswar,56-60,6
IR-E-U-0355,IIT Bhubaneswar,61-65,4
IR-E-U-0355,IIT Bhubaneswar,66+,3
IR-E-U-0878,IIT Palakkad,<=30,0
IR-E-U-0878,IIT Palakkad,31-35,14
IR-E-U-0878,IIT Palakkad,36-40,60
IR-E-U-0878,IIT Palakkad,41-45,37
IR-E-U-0878,IIT Palakkad,46-50,8
IR-E-U-0878,IIT Palakkad,51-55,2
IR-E-U-0878,IIT Palakkad,56-60,1
IR-E-U-0878,IIT Palakkad,61-65,5
IR-E-U-0878,IIT Palakkad,66+,3
IR-E-U-0906,IIT Jammu,<=30,4
IR-E-U-0906,IIT Jammu,31-35,33
IR-E-U-0906,IIT Jammu,36-40,61
IR-E-U-0906,IIT Jammu,41-45,21
IR-E-U-0906,IIT Jammu,46-50,4
IR-E-U-0906,IIT Jammu,51-55,1
IR-E-U-0906,IIT Jammu,56-60,4
IR-E-U-0906,IIT Jammu,61-65,2
IR-E-U-0906,IIT Jammu,66+,7
IR-E-U-0844,IIT Tirupati,<=30,2
IR-E-U-0844,IIT Tirupati,31-35,20
IR-E-U-0844,IIT Tirupati,36-40,44
IR-E-U-0844,IIT Tirupati,41-45,35
IR-E-U-0844,IIT Tirupati,46-50,7
IR-E-U-0844,IIT Tirupati,51-55,2
IR-E-U-0844,IIT Tirupati,56-60,0
IR-E-U-0844,IIT Tirupati,61-65,3
IR-E-U-0844,IIT Tirupati,66+,5
IR-E-U-0946,IIT Bhilai,<=30,2
IR-E-U-0946,IIT Bhilai,31-35,21
IR-E-U-0946,IIT Bhilai,36-40,31
IR-E-U-0946,IIT Bhilai,41-45,17
IR-E-U-0946,IIT Bhilai,46-50,5
IR-E-U-0946,IIT Bhilai,51-55,1
IR-E-U-0946,IIT Bhilai,56-60,0
IR-E-U-0946,IIT Bhilai,61-65,0
IR-E-U-0946,IIT Bhilai,66+,0
IR-E-U-0899,IIT Dharwad,<=30,2
IR-E-U-0899,IIT Dharwad,31-35,23
IR-E-U-0899,IIT Dharwad,36-40,45
IR-E-U-0899,IIT Dharwad,41-45,8
IR-E-U-0899,IIT Dharwad,46-50,1
IR-E-U-0899,IIT Dharwad,51-55,2
IR-E-U-0899,IIT Dharwad,56-60,1
IR-E-U-0899,IIT Dharwad,61-65,3
IR-E-U-0899,IIT Dharwad,66+,5
