institute_id,short_name,joining_period,faculty_count
IR-E-U-0456,IIT Madras,Before 2000,71
IR-E-U-0456,IIT Madras,2000-2004,66
IR-E-U-0456,IIT Madras,2005-2009,125
IR-E-U-0456,IIT Madras,2010-2014,165
IR-E-U-0456,IIT Madras,2015-2019,111
IR-E-U-0456,IIT Madras,2020-2024,147
IR-E-U-0456,IIT Madras,2025+,0
IR-E-I-1074,IIT Delhi,Before 2000,76
IR-E-I-1074,IIT Delhi,2000-2004,50
IR-E-I-1074,IIT Delhi,2005-2009,59
IR-E-I-1074,IIT Delhi,2010-2014,113
IR-E-I-1074,IIT Delhi,2015-2019,133
IR-E-I-1074,IIT Delhi,2020-2024,223
IR-E-I-1074,IIT Delhi,2025+,0
IR-E-U-0306,IIT Bombay,Before 2000,102
IR-E-U-0306,IIT Bombay,2000-2004,76
IR-E-U-0306,IIT Bombay,2005-2009,125
IR-E-U-0306,IIT Bombay,2010-2014,130
IR-E-U-0306,IIT Bombay,2015-2019,163
IR-E-U-0306,IIT Bombay,2020-2024,196
IR-E-U-0306,IIT Bombay,2025+,0
IR-E-I-1075,IIT Kanpur,Before 2000,67
IR-E-I-1075,IIT Kanpur,2000-2004,64
IR-E-I-1075,IIT Kanpur,2005-2009,66
IR-E-I-1075,IIT Kanpur,2010-2014,86
IR-E-I-1075,IIT Kanpur,2015-2019,109
IR-E-I-1075,IIT Kanpur,2020-2024,187
IR-E-I-1075,IIT Kanpur,2025+,0
IR-E-U-0573,IIT Kharagpur,Before 2000,121
IR-E-U-0573,IIT Kharagpur,2000-2004,106
IR-E-U-0573,IIT Kharagpur,2005-2009,108
IR-E-U-0573,IIT Kharagpur,2010-2014,122
IR-E-U-0573,IIT Kharagpur,2015-2019,205
IR-E-U-0573,IIT Kharagpur,2020-2024,204
IR-E-U-0573,IIT Kharagpur,2025+,0
IR-E-U-0560,IIT Roorkee,Before 2000,67
IR-E-U-0560,IIT Roorkee,2000-2004,37
IR-E-U-0560,IIT Roorkee,2005-2009,81
IR-E-U-0560,IIT Roorkee,2010-2014,108
IR-E-U-0560,IIT Roorkee,2015-2019,86
IR-E-U-0560,IIT Roorkee,2020-2024,213
IR-E-U-0560,IIT Roorkee,2025+,0
IR-E-U-0013,IIT Hyderabad,Before 2000,0
IR-E-U-0013,IIT Hyderabad,2000-2004,0
IR-E-U-0013,IIT Hyderabad,2005-2009,20
IR-E-U-0013,IIT Hyderabad,2010-2014,97
IR-E-U-0013,IIT Hyderabad,2015-2019,58
IR-E-U-0013,IIT Hyderabad,2020-2024,107
IR-E-U-0013,IIT Hyderabad,2025+,0
IR-E-U-0053,IIT Guwahati,Before 2000,38
IR-E-U-0053,IIT Guwahati,2000-2004,67
IR-E-U-0053,IIT Guwahati,2005-2009,93
IR-E-U-0053,IIT Guwahati,2010-2014,115
IR-E-U-0053,IIT Guwahati,2015-2019,66
IR-E-U-0053,IIT Guwahati,2020-2024,81
IR-E-U-0053,IIT Guwahati,2025+,0
IR-E-U-0701,IIT BHU,Before 2000,32
IR-E-U-0701,IIT BHU,2000-2004,61
IR-E-U-0701,IIT BHU,2005-2009,69
IR-E-U-0701,IIT BHU,2010-2014,17
IR-E-U-0701,IIT BHU,2015-2019,98
IR-E-U-0701,IIT BHU,2020-2024,105
IR-E-U-0701,IIT BHU,2025+,0
IR-E-U-0273,IIT Indore,Before 2000,0
IR-E-U-0273,IIT Indore,2000-2004,0
IR-E-U-0273,IIT Indore,2005-2009,17
IR-E-U-0273,IIT Indore,2010-2014,52
IR-E-U-0273,IIT Indore,2015-2019,71
IR-E-U-0273,IIT Indore,2020-2024,88
IR-E-U-0273,IIT Indore,2025+,0
IR-E-U-0205,IIT ISM,Before 2000,21
IR-E-U-0205,IIT ISM,2000-2004,13
IR-E-U-0205,IIT ISM,2005-2009,62
IR-E-U-0205,IIT ISM,2010-2014,114
IR-E-U-0205,IIT ISM,2015-2019,52
IR-E-U-0205,IIT ISM,2020-2024,196
IR-E-U-0205,IIT ISM,2025+,0
IR-E-U-0064,IIT Patna,Before 2000,0
IR-E-U-0064,IIT Patna,2000-2004,0
IR-E-U-0064,IIT Patna,2005-2009,17
IR-E-U-0064,IIT Patna,2010-2014,31
IR-E-U-0064,IIT Patna,2015-2019,65
IR-E-U-0064,IIT Patna,2020-2024,143
IR-E-U-0064,IIT Patna,2025+,0
IR-E-U-0139,IIT Gandhinagar,Before 2000,0
IR-E-U-0139,IIT Gandhinagar,2000-2004,0
IR-E-U-0139,IIT Gandhinagar,2005-2009,11
IR-E-U-0139,IIT Gandhinagar,2010-2014,47
IR-E-U-0139,IIT Gandhinagar,2015-2019,39
IR-E-U-0139,IIT Gandhinagar,2020-2024,57
IR-E-U-0139,IIT Gandhinagar,2025+,0
IR-E-U-0184,IIT Mandi,Before 2000,0
IR-E-U-0184,IIT Mandi,2000-2004,0
IR-E-U-0184,IIT Mandi,2005-2009,0
IR-E-U-0184,IIT Mandi,2010-2014,47
IR-E-U-0184,IIT Mandi,2015-2019,54
IR-E-U-0184,IIT Mandi,2020-2024,105
IR-E-U-0184,IIT Mandi,2025+,0
IR-E-U-0395,IIT Jodhpur,Before 2000,0
IR-E-U-0395,IIT Jodhpur,2000-2004,0
IR-E-U-0395,IIT Jodhpur,2005-2009,1
IR-E-U-0395,IIT Jodhpur,2010-2014,29
IR-E-U-0395,IIT Jodhpur,2015-2019,68
IR-E-U-0395,IIT Jodhpur,2020-2024,165
IR-E-U-0395,IIT Jodhpur,2025+,0
IR-E-U-0378,IIT Ropar,Before 2000,0
IR-E-U-0378,IIT Ropar,2000-2004,0
IR-E-U-0378,IIT Ropar,2005-2009,8
IR-E-U-0378,IIT Ropar,2010-2014,49
IR-E-U-0378,IIT Ropar,2015-2019,84
IR-E-U-0378,IIT Ropar,2020-2024,40
IR-E-U-0378,IIT Ropar,2025+,0
IR-E-U-0355,IIT Bhubaneswar,Before 2000,0
IR-E-U-0355,IIT Bhubaneswar,2000-2004,0
IR-E-U-0355,IIT Bhubaneswar,2005-2009,16
IR-E-U-0355,IIT Bhubaneswar,2010-2014,60
IR-E-U-0355,IIT Bhubaneswar,2015-2019,42
IR-E-U-0355,IIT Bhubaneswar,2020-2024,82
IR-E-U-0355,IIT Bhubaneswar,2025+,0
IR-E-U-0878,IIT Palakkad,Before 2000,0
IR-E-U-0878,IIT Palakkad,2000-2004,0
IR-E-U-0878,IIT Palakkad,2005-2009,0
IR-E-U-0878,IIT Palakkad,2010-2014,0
IR-E-U-0878,IIT Palakkad,2015-2019,75
IR-E-U-0878,IIT Palakkad,2020-2024,55
IR-E-U-0878,IIT Palakkad,2025+,0
IR-E-U-0906,IIT Jammu,Before 2000,0
IR-E-U-0906,IIT Jammu,2000-2004,0
IR-E-U-0906,IIT Jammu,2005-2009,0
IR-E-U-0906,IIT Jammu,2010-2014,0
IR-E-U-0906,IIT Jammu,2015-2019,58
IR-E-U-0906,IIT Jammu,2020-2024,79
IR-E-U-0906,IIT Jammu,2025+,0
IR-E-U-0844,IIT Tirupati,Before 2000,0
IR-E-U-0844,IIT Tirupati,2000-2004,0
IR-E-U-0844,IIT Tirupati,2005-2009,0
IR-E-U-0844,IIT Tirupati,2010-2014,0
IR-E-U-0844,IIT Tirupati,2015-2019,68
IR-E-U-0844,IIT Tirupati,2020-2024,50
IR-E-U-0844,IIT Tirupati,2025+,0
IR-E-U-0946,IIT Bhilai,Before 2000,0
IR-E-U-0946,IIT Bhilai,2000-2004,0
IR-E-U-0946,IIT Bhilai,2005-2009,0
IR-E-U-0946,IIT Bhilai,2010-2014,0
IR-E-U-0946,IIT Bhilai,2015-2019,44
IR-E-U-0946,IIT Bhilai,2020-2024,33
IR-E-U-0946,IIT Bhilai,2025+,0
IR-E-U-0899,IIT Dharwad,Before 2000,0
IR-E-U-0899,IIT Dharwad,2000-2004,0
IR-E-U-0899,IIT Dharwad,2005-2009,0
IR-E-U-0899,IIT Dharwad,2010-2014,0
IR-E-U-0899,IIT Dharwad,2015-2019,27
IR-E-U-0899,IIT Dharwad,2020-2024,63
IR-E-U-0899,IIT Dharwad,2025+,0
