"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute of Technology Kanpur","Indian Institute of Technology, Kharagpur","Indian Institute Of Technology–Madras (IIT–Madras)","Indian Institute of Technology Bombay"
"2021-07-01",47,23,37,38,41
"2021-08-01",46,23,35,37,40
"2021-09-01",52,23,41,35,44
"2021-10-01",56,29,34,32,44
"2021-11-01",48,29,36,30,42
"2021-12-01",48,30,42,33,46
"2022-01-01",61,34,70,40,48
"2022-02-01",52,29,54,36,48
"2022-03-01",57,34,58,44,55
"2022-04-01",56,39,47,53,62
"2022-05-01",45,34,37,49,58
"2022-06-01",44,30,37,51,58
"2022-07-01",45,34,42,51,63
"2022-08-01",48,33,42,61,63
"2022-09-01",48,42,43,55,66
"2022-10-01",43,37,42,47,57
"2022-11-01",42,32,42,43,56
"2022-12-01",40,31,38,39,62
"2023-01-01",44,38,41,45,53
"2023-02-01",43,43,36,45,54
"2023-03-01",59,51,38,55,58
"2023-04-01",49,41,36,59,61
"2023-05-01",49,36,37,70,58
"2023-06-01",56,42,50,80,72
"2023-07-01",60,41,56,72,68
"2023-08-01",55,41,55,64,73
"2023-09-01",46,35,39,57,61
"2023-10-01",44,31,38,49,55
"2023-11-01",41,32,39,53,54
"2023-12-01",46,33,44,52,69
"2024-01-01",50,38,50,58,70
"2024-02-01",53,31,42,65,59
"2024-03-01",62,33,44,75,65
"2024-04-01",63,39,48,67,82
"2024-05-01",57,36,41,92,71
"2024-06-01",54,33,56,81,73
"2024-07-01",63,31,56,83,75
"2024-08-01",53,42,46,72,68
"2024-09-01",52,38,39,74,70
"2024-10-01",48,33,33,67,61
"2024-11-01",49,41,38,60,59
"2024-12-01",47,31,41,63,58
"2025-01-01",52,36,45,75,72
"2025-02-01",50,34,35,72,45
"2025-03-01",57,32,38,73,50
"2025-04-01",62,44,44,78,53
"2025-05-01",60,49,37,100,54
"2025-06-01",64,46,48,93,70
"2025-07-01",62,46,56,95,65
"2025-08-01",56,42,41,75,53
"2025-09-01",48,33,33,69,45
"2025-10-01",41,32,31,69,43
"2025-11-01",48,41,33,62,48
"2025-12-01",46,33,38,56,58
"2026-01-01",52,41,38,57,45
"2026-02-01",49,38,38,63,46
"2026-03-01",54,38,38,67,53
"2026-04-01",59,42,47,63,64
"2026-05-01",53,44,38,78,57
"2026-06-01",54,45,45,74,59
