"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute of Technology Guwahati","Indian Institute Of Technology Roorkee","Indian Institute Of Technology–Ropar (IIT–Ropar)","Indian Institute of Technology, Patna"
"2021-07-01",73,0,28,6,7
"2021-08-01",72,0,29,5,6
"2021-09-01",82,0,30,6,6
"2021-10-01",87,0,32,8,9
"2021-11-01",75,0,34,6,10
"2021-12-01",76,0,28,7,6
"2022-01-01",95,0,25,6,6
"2022-02-01",81,0,22,5,5
"2022-03-01",89,0,32,11,4
"2022-04-01",87,0,26,14,4
"2022-05-01",71,0,34,11,4
"2022-06-01",69,0,24,10,2
"2022-07-01",70,0,29,9,5
"2022-08-01",76,0,27,9,9
"2022-09-01",76,0,35,10,10
"2022-10-01",68,0,23,9,6
"2022-11-01",66,0,25,7,7
"2022-12-01",63,0,24,8,6
"2023-01-01",69,0,27,8,5
"2023-02-01",67,0,29,7,4
"2023-03-01",92,0,23,10,3
"2023-04-01",77,0,22,12,5
"2023-05-01",77,0,23,11,5
"2023-06-01",88,0,22,15,6
"2023-07-01",94,0,23,16,5
"2023-08-01",86,0,24,9,6
"2023-09-01",72,0,18,7,4
"2023-10-01",70,0,15,7,3
"2023-11-01",65,1,14,8,4
"2023-12-01",72,1,16,10,6
"2024-01-01",79,2,23,8,6
"2024-02-01",83,2,23,8,6
"2024-03-01",97,0,26,13,13
"2024-04-01",99,2,30,13,15
"2024-05-01",90,1,36,11,14
"2024-06-01",85,7,43,16,19
"2024-07-01",98,49,50,22,15
"2024-08-01",83,28,23,16,11
"2024-09-01",81,32,25,13,10
"2024-10-01",76,23,22,10,8
"2024-11-01",77,28,18,11,8
"2024-12-01",74,28,16,12,8
"2025-01-01",81,34,19,12,8
"2025-02-01",79,29,32,12,9
"2025-03-01",89,31,32,11,8
"2025-04-01",97,39,33,15,12
"2025-05-01",95,40,37,13,15
"2025-06-01",100,50,38,21,21
"2025-07-01",97,53,46,23,21
"2025-08-01",88,42,51,14,14
"2025-09-01",75,30,31,10,9
"2025-10-01",65,28,22,10,9
"2025-11-01",75,31,21,9,11
"2025-12-01",72,28,23,9,13
"2026-01-01",82,36,25,10,14
"2026-02-01",76,29,26,9,14
"2026-03-01",85,40,27,11,17
"2026-04-01",92,36,23,14,14
"2026-05-01",84,34,22,14,14
"2026-06-01",85,40,28,19,17
