"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute Of Technology Gandhinagar (IIT Gandhinagar)","Indian Institute of Technology, Hyderabad","Indian Institute of Technology (IIT), Jodhpur","Indian Institute Of Technology (IIT) Bhubaneswar"
"2021-07-01",73,7,16,8,7
"2021-08-01",72,9,14,6,5
"2021-09-01",82,9,14,7,5
"2021-10-01",87,9,17,8,8
"2021-11-01",75,8,15,8,9
"2021-12-01",76,8,13,6,7
"2022-01-01",95,9,13,7,5
"2022-02-01",81,12,14,10,4
"2022-03-01",89,19,21,10,7
"2022-04-01",87,17,24,13,9
"2022-05-01",71,12,20,13,8
"2022-06-01",69,9,19,12,8
"2022-07-01",70,10,21,10,9
"2022-08-01",76,10,20,9,7
"2022-09-01",76,15,22,14,10
"2022-10-01",68,10,18,14,8
"2022-11-01",66,10,15,11,7
"2022-12-01",63,9,16,10,7
"2023-01-01",69,11,15,10,8
"2023-02-01",67,17,20,10,7
"2023-03-01",92,18,20,11,8
"2023-04-01",77,15,23,13,10
"2023-05-01",77,11,22,15,10
"2023-06-01",88,14,34,16,13
"2023-07-01",94,13,24,16,10
"2023-08-01",86,13,22,13,7
"2023-09-01",72,11,15,9,6
"2023-10-01",70,10,15,10,5
"2023-11-01",65,11,20,9,6
"2023-12-01",72,10,22,12,6
"2024-01-01",79,12,18,12,5
"2024-02-01",83,23,27,12,5
"2024-03-01",97,25,29,14,7
"2024-04-01",99,18,32,21,9
"2024-05-01",90,14,28,23,8
"2024-06-01",85,18,28,19,12
"2024-07-01",98,16,27,19,12
"2024-08-01",83,14,23,16,11
"2024-09-01",81,14,20,14,12
"2024-10-01",76,12,20,13,8
"2024-11-01",77,12,22,15,11
"2024-12-01",74,11,22,17,10
"2025-01-01",81,14,21,17,9
"2025-02-01",79,22,29,14,8
"2025-03-01",89,19,36,18,13
"2025-04-01",97,19,38,21,19
"2025-05-01",95,16,32,18,12
"2025-06-01",100,17,39,26,18
"2025-07-01",97,15,32,21,19
"2025-08-01",88,14,24,16,10
"2025-09-01",75,12,19,12,8
"2025-10-01",65,13,21,11,9
"2025-11-01",75,14,22,12,11
"2025-12-01",72,10,21,12,11
"2026-01-01",82,12,30,13,10
"2026-02-01",76,21,25,14,9
"2026-03-01",85,20,36,15,12
"2026-04-01",92,17,38,20,15
"2026-05-01",84,13,29,17,10
"2026-06-01",85,15,34,24,16
