"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute of Technology Indore","Indian Institute of Technology Mandi","Indian Institute of Technology (BHU) Varanasi","Indian Institute Of Technology–Palakkad (IIT–Palakkad)"
"2021-07-01",73,7,6,15,4
"2021-08-01",72,6,7,12,4
"2021-09-01",82,6,6,12,4
"2021-10-01",87,10,9,18,6
"2021-11-01",75,8,9,19,5
"2021-12-01",76,7,8,18,4
"2022-01-01",95,5,10,13,3
"2022-02-01",81,4,9,13,4
"2022-03-01",89,5,12,16,6
"2022-04-01",87,6,15,23,8
"2022-05-01",71,5,14,19,6
"2022-06-01",69,5,13,19,5
"2022-07-01",70,7,13,23,6
"2022-08-01",76,9,17,23,7
"2022-09-01",76,10,16,29,7
"2022-10-01",68,6,15,28,5
"2022-11-01",66,7,14,22,4
"2022-12-01",63,7,12,19,4
"2023-01-01",69,6,13,16,5
"2023-02-01",67,6,14,18,6
"2023-03-01",92,4,15,19,7
"2023-04-01",77,3,17,20,9
"2023-05-01",77,3,15,19,6
"2023-06-01",88,3,20,29,9
"2023-07-01",94,3,17,38,7
"2023-08-01",86,3,19,33,7
"2023-09-01",72,2,16,23,5
"2023-10-01",70,2,13,23,7
"2023-11-01",65,2,13,39,8
"2023-12-01",72,2,13,30,6
"2024-01-01",79,3,14,28,7
"2024-02-01",83,4,14,21,8
"2024-03-01",97,9,18,25,11
"2024-04-01",99,10,21,29,14
"2024-05-01",90,9,20,25,8
"2024-06-01",85,12,23,26,10
"2024-07-01",98,13,21,39,10
"2024-08-01",83,10,21,29,7
"2024-09-01",81,8,21,26,7
"2024-10-01",76,6,15,23,7
"2024-11-01",77,6,15,28,7
"2024-12-01",74,4,17,27,5
"2025-01-01",81,6,18,24,6
"2025-02-01",79,7,17,21,11
"2025-03-01",89,8,19,27,12
"2025-04-01",97,8,21,30,11
"2025-05-01",95,9,21,27,7
"2025-06-01",100,10,29,34,9
"2025-07-01",97,12,21,38,8
"2025-08-01",88,10,19,26,6
"2025-09-01",75,8,14,23,5
"2025-10-01",65,8,12,23,5
"2025-11-01",75,8,15,25,5
"2025-12-01",72,6,14,23,5
"2026-01-01",82,7,14,21,5
"2026-02-01",76,8,15,19,6
"2026-03-01",85,10,19,23,13
"2026-04-01",92,13,22,26,10
"2026-05-01",84,11,23,25,6
"2026-06-01",85,12,27,27,7
