"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute Of Technology (IIT) Tirupati","Indian Institute of Technology (Indian School of Mines), Dhanbad","Indian Institute of Technology Bhilai","Indian Institute Of Technology Goa"
"2021-07-01",73,5,16,3,3
"2021-08-01",72,4,15,4,3
"2021-09-01",82,3,13,3,5
"2021-10-01",87,5,16,4,5
"2021-11-01",75,5,15,3,3
"2021-12-01",76,4,16,3,2
"2022-01-01",95,3,12,2,2
"2022-02-01",81,3,12,2,2
"2022-03-01",89,4,17,3,3
"2022-04-01",87,5,19,5,4
"2022-05-01",71,4,19,4,4
"2022-06-01",69,4,19,3,3
"2022-07-01",70,5,17,3,3
"2022-08-01",76,5,18,3,4
"2022-09-01",76,7,23,5,6
"2022-10-01",68,7,19,4,4
"2022-11-01",66,6,17,4,3
"2022-12-01",63,5,16,3,2
"2023-01-01",69,5,15,3,3
"2023-02-01",67,5,15,3,3
"2023-03-01",92,6,15,6,3
"2023-04-01",77,6,19,5,4
"2023-05-01",77,5,16,5,3
"2023-06-01",88,9,26,8,6
"2023-07-01",94,6,21,6,5
"2023-08-01",86,6,23,5,4
"2023-09-01",72,6,17,3,3
"2023-10-01",70,5,16,3,3
"2023-11-01",65,6,19,3,3
"2023-12-01",72,5,20,5,3
"2024-01-01",79,5,14,4,3
"2024-02-01",83,7,14,5,4
"2024-03-01",97,10,15,5,4
"2024-04-01",99,10,18,7,7
"2024-05-01",90,7,18,6,6
"2024-06-01",85,9,25,8,6
"2024-07-01",98,7,26,8,5
"2024-08-01",83,5,20,5,4
"2024-09-01",81,5,18,5,3
"2024-10-01",76,4,17,7,4
"2024-11-01",77,5,23,6,5
"2024-12-01",74,5,21,5,3
"2025-01-01",81,5,20,5,4
"2025-02-01",79,6,17,4,3
"2025-03-01",89,10,19,5,5
"2025-04-01",97,10,22,8,8
"2025-05-01",95,8,20,7,4
"2025-06-01",100,10,26,9,6
"2025-07-01",97,12,24,7,5
"2025-08-01",88,11,18,5,4
"2025-09-01",75,6,17,4,3
"2025-10-01",65,7,16,4,2
"2025-11-01",75,6,17,5,3
"2025-12-01",72,5,17,4,3
"2026-01-01",82,5,15,3,3
"2026-02-01",76,5,15,3,4
"2026-03-01",85,10,17,5,5
"2026-04-01",92,9,18,9,8
"2026-05-01",84,8,18,10,5
"2026-06-01",85,9,27,9,6
