"Time","Indian Institute Of Technology Delhi (IIT Delhi)","Indian Institute of Technology, Jammu","Indian Institute Of Technology Dharwad"
"2021-07-01",73,3,3
"2021-08-01",72,3,2
"2021-09-01",82,3,2
"2021-10-01",87,5,4
"2021-11-01",75,5,4
"2021-12-01",76,4,3
"2022-01-01",95,4,2
"2022-02-01",81,4,3
"2022-03-01",89,5,3
"2022-04-01",87,6,5
"2022-05-01",71,6,4
"2022-06-01",69,5,3
"2022-07-01",70,5,3
"2022-08-01",76,5,4
"2022-09-01",76,7,6
"2022-10-01",68,5,5
"2022-11-01",66,4,4
"2022-12-01",63,4,3
"2023-01-01",69,5,4
"2023-02-01",67,4,4
"2023-03-01",92,6,12
"2023-04-01",77,5,6
"2023-05-01",77,7,5
"2023-06-01",88,8,9
"2023-07-01",94,7,6
"2023-08-01",86,6,5
"2023-09-01",72,5,4
"2023-10-01",70,4,4
"2023-11-01",65,6,5
"2023-12-01",72,6,4
"2024-01-01",79,6,4
"2024-02-01",83,7,5
"2024-03-01",97,8,5
"2024-04-01",99,10,9
"2024-05-01",90,9,6
"2024-06-01",85,10,10
"2024-07-01",98,9,10
"2024-08-01",83,8,6
"2024-09-01",81,6,6
"2024-10-01",76,6,5
"2024-11-01",77,6,6
"2024-12-01",74,6,5
"2025-01-01",81,7,5
"2025-02-01",79,6,5
"2025-03-01",89,7,9
"2025-04-01",97,11,8
"2025-05-01",95,9,7
"2025-06-01",100,9,10
"2025-07-01",97,10,8
"2025-08-01",88,6,6
"2025-09-01",75,5,4
"2025-10-01",65,5,4
"2025-11-01",75,6,4
"2025-12-01",72,5,4
"2026-01-01",82,7,4
"2026-02-01",76,6,4
"2026-03-01",85,8,5
"2026-04-01",92,10,8
"2026-05-01",84,9,6
"2026-06-01",85,11,11
