iit_name,short_name,year,aoi_source,aoi_area_sq_km,estimated_building_count,buildings_per_sq_km
Indian Institute of Technology Kanpur,IIT Kanpur,2023,fallback_buffer,13.832179,498.410424,36.032676
Indian Institute of Technology Kharagpur,IIT Kharagpur,2023,fallback_buffer,13.832179,356.710918,25.788484
Indian Institute of Technology Madras,IIT Madras,2023,fallback_buffer,8.029564,266.637869,33.207016
Indian Institute of Technology Roorkee,IIT Roorkee,2023,fallback_buffer,4.516630,209.202344,46.318240
Indian Institute of Technology Dhanbad,IIT Dhanbad,2023,fallback_buffer,3.795224,188.918892,49.778065
Indian Institute of Technology Guwahati,IIT Guwahati,2023,fallback_buffer,10.162417,165.822465,16.317227
Indian Institute of Technology Bombay,IIT Bombay,2023,fallback_buffer,7.057234,151.199725,21.424785
Indian Institute of Technology Varanasi BHU,IIT BHU,2023,fallback_buffer,3.795224,104.003850,27.403879
Indian Institute of Technology Patna,IIT Patna,2023,fallback_buffer,6.147635,73.990810,12.035654
Indian Institute of Technology Delhi,IIT Delhi,2023,fallback_buffer,2.540604,70.840740,27.883422
Indian Institute of Technology Tirupati,IIT Tirupati,2023,fallback_buffer,6.147635,66.854827,10.874886
Indian Institute of Technology Hyderabad,IIT Hyderabad,2023,fallback_buffer,11.322940,66.420150,5.865981
Indian Institute of Technology Palakkad,IIT Palakkad,2023,fallback_buffer,4.516630,51.470972,11.395880
Indian Institute of Technology Dharwad,IIT Dharwad,2023,fallback_buffer,6.147635,46.142952,7.505805
Indian Institute of Technology Jammu,IIT Jammu,2023,fallback_buffer,4.516630,46.105139,10.207863
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,2023,fallback_buffer,10.162417,41.530667,4.086692
Indian Institute of Technology Gandhinagar,IIT Gandhinagar,2023,fallback_buffer,5.300767,39.437856,7.440028
Indian Institute of Technology Indore,IIT Indore,2023,fallback_buffer,8.029564,38.700669,4.819772
Indian Institute of Technology Jodhpur,IIT Jodhpur,2023,fallback_buffer,11.322940,38.058203,3.361159
Indian Institute of Technology Bhilai,IIT Bhilai,2023,fallback_buffer,5.300767,22.242876,4.196162
Indian Institute of Technology Mandi,IIT Mandi,2023,fallback_buffer,7.057234,21.237424,3.009313
Indian Institute of Technology Ropar,IIT Ropar,2023,fallback_buffer,6.147635,14.395592,2.341647
Indian Institute of Technology Goa,IIT Goa,2023,fallback_buffer,2.540604,10.701152,4.212050
