short_name,nearest_airport,nearest_airport_iata,airport_city,distance_to_airport_km
IIT BHU,Lal Bahadur Shastri International Airport,VNS,Varanasi,24.782603
IIT Bhilai,Swami Vivekananda Airport,RPR,Raipur,45.150600
IIT Bhubaneswar,Biju Patnaik International Airport,BBI,Bhubaneswar,18.561660
IIT Bombay,Chhatrapati Shivaji Maharaj International Airport,BOM,Mumbai,6.978381
IIT Delhi,Indira Gandhi International Airport,DEL,New Delhi,9.155391
IIT Dhanbad,Birsa Munda Airport,IXR,Ranchi,127.008844
IIT Dharwad,Hubballi Airport,HBX,Hubballi,17.952152
IIT Gandhinagar,Sardar Vallabhbhai Patel International Airport,AMD,Ahmedabad,15.713408
IIT Goa,Dabolim Airport,GOI,Goa,16.590459
IIT Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,Guwahati,13.923871
IIT Hyderabad,Rajiv Gandhi International Airport,HYD,Hyderabad,50.938603
IIT Indore,Devi Ahilya Bai Holkar Airport,IDR,Indore,25.452691
IIT Jammu,Jammu Airport,IXJ,Jammu,13.710070
IIT Jodhpur,Jodhpur Airport,JDH,Jodhpur,25.643497
IIT Kanpur,Chaudhary Charan Singh International Airport,LKO,Lucknow,70.912996
IIT Kharagpur,Netaji Subhas Chandra Bose International Airport,CCU,Kolkata,122.763014
IIT Madras,Chennai International Airport,MAA,Chennai,6.819108
IIT Mandi,Kullu Manali Airport,KUU,Bhuntar,19.494476
IIT Palakkad,Coimbatore International Airport,CJB,Coimbatore,57.730232
IIT Patna,Jay Prakash Narayan Airport,PAT,Patna,24.547110
IIT Roorkee,Dehradun Jolly Grant Airport,DED,Dehradun,45.230132
IIT Ropar,Shaheed Bhagat Singh International Airport,IXC,Chandigarh,44.501372
IIT Tirupati,Tirupati Airport,TIR,Tirupati,16.106003
