short_name,iit_name,x_handle,source_url,followers_display,followers_count,posts_display,posts_count,collection_date,notes
IIT Kharagpur,Indian Institute of Technology Kharagpur,@IITKgp,https://x.com/IITKgp,124.6K,124600,"6,124",6124,2026-07-09,official verified institute handle
IIT Bombay,Indian Institute of Technology Bombay,@iitbombay,https://x.com/iitbombay,242K,242000,"5,240",5240,2026-07-09,official verified institute handle
IIT Madras,Indian Institute of Technology Madras,@iitmadras,https://x.com/iitmadras,204.4K,204400,11K,11000,2026-07-09,official verified institute handle
IIT Kanpur,Indian Institute of Technology Kanpur,@IITKanpur,https://x.com/IITKanpur,138.1K,138100,11K,11000,2026-07-09,official verified institute handle
IIT Delhi,Indian Institute of Technology Delhi,@iitdelhi,https://x.com/iitdelhi,160.1K,160100,"5,964",5964,2026-07-09,official institute handle
IIT Guwahati,Indian Institute of Technology Guwahati,@IITGuwahati,https://x.com/IITGuwahati,91.8K,91800,"8,204",8204,2026-07-09,official verified institute handle
IIT Roorkee,Indian Institute of Technology Roorkee,@iitroorkee,https://x.com/iitroorkee,74.9K,74900,10.9K,10900,2026-07-09,official verified institute handle
IIT Ropar,Indian Institute of Technology Ropar,@iitrpr,https://x.com/iitrpr,20.8K,20800,"1,388",1388,2026-07-09,official institute handle
IIT Bhubaneswar,Indian Institute of Technology Bhubaneswar,@iitbbs,https://x.com/iitbbs,12.9K,12900,"3,034",3034,2026-07-09,official verified institute handle
IIT Gandhinagar,Indian Institute of Technology Gandhinagar,@iitgn,https://x.com/iitgn,54.2K,54200,12.7K,12700,2026-07-09,official verified institute handle
IIT Hyderabad,Indian Institute of Technology Hyderabad,@IITHyderabad,https://x.com/IITHyderabad,53.2K,53200,"5,940",5940,2026-07-09,official verified institute handle
IIT Jodhpur,Indian Institute of Technology Jodhpur,@iitjodhpur,https://x.com/iitjodhpur,19.3K,19300,"5,892",5892,2026-07-09,official institute handle
IIT Patna,Indian Institute of Technology Patna,@IITPAT,https://x.com/IITPAT,30.6K,30600,"1,505",1505,2026-07-09,official institute handle
IIT Indore,Indian Institute of Technology Indore,@IITIOfficial,https://x.com/IITIOfficial,29.7K,29700,"1,824",1824,2026-07-09,official institute handle
IIT Mandi,Indian Institute of Technology Mandi,@iit__mandi,https://x.com/iit__mandi,24.7K,24700,"2,993",2993,2026-07-09,official institute handle
IIT BHU,Indian Institute of Technology Varanasi BHU,@IITBHU_Varanasi,https://x.com/IITBHU_Varanasi,38.1K,38100,"1,474",1474,2026-07-09,official verified institute handle
IIT Palakkad,Indian Institute of Technology Palakkad,@PalakkadIIT,https://x.com/PalakkadIIT,17.3K,17300,"1,651",1651,2026-07-09,official institute handle
IIT Tirupati,Indian Institute of Technology Tirupati,@iit_tirupati,https://x.com/iit_tirupati,18.4K,18400,"1,062",1062,2026-07-09,official verified institute handle
IIT Dhanbad,Indian Institute of Technology Dhanbad,@IITISM_DHANBAD,https://x.com/IITISM_DHANBAD,21.5K,21500,"3,612",3612,2026-07-09,official verified institute handle
IIT Bhilai,Indian Institute of Technology Bhilai,@IIT_Bhilai,https://x.com/IIT_Bhilai,17.7K,17700,"1,880",1880,2026-07-09,official institute handle
IIT Goa,Indian Institute of Technology Goa,@IITGoaofficial,https://x.com/IITGoaofficial,17.4K,17400,"1,281",1281,2026-07-09,official institute handle
IIT Jammu,Indian Institute of Technology Jammu,@IITJammu,https://x.com/IITJammu,20K,20000,"5,279",5279,2026-07-09,official institute handle
IIT Dharwad,Indian Institute of Technology Dharwad,@iitdhrwd,https://x.com/iitdhrwd,"9,609",9609,"1,196",1196,2026-07-09,official verified institute handle
